id,title,author,year,resource_type,availability,abstract
3632321,Ancient DNA of narrow-headed vole reveal common features of the Late Pleistocene population dynamics in cold-adapted small mammals,"Baca, M.; Popović, D.; Agadzhanyan, A.K.; Baca, K.; Conard, N.J.; Fewlass, H.; ... ; Nadachowski, A.                                                         2024",,Article / Letter to editor,open access,"The narrow-headed vole, collared lemming and common vole were the most abundant small mammal species across the Eurasian Late Pleistocene steppe-tundra environment. Previous ancient DNA studies of the collared lemming and common vole have revealed dynamic population histories shaped by climatic fluctuations. To investigate the extent to which species with similar adaptations share common evolutionary histories, we generated a dataset comprised the mitochondrial genomes of 139 ancient and 6 modern narrow-headed voles from several sites across Europe and northwestern Asia covering approximately the last 100 thousand years (kyr). We inferred Bayesian time-aware phylogenies using 11 radiocarbon-dated samples to calibrate the molecular clock. Divergence of the main mtDNA lineages across the three species occurred during marine isotope stages (MIS) 7 and MIS 5, suggesting a common response of species adapted to open habitat during interglacials. We identified several time-structured mtDNA lineages in European narrow-headed vole, suggesting lineage turnover. The timing of some of these turnovers was synchronous across the three species, allowing us to identify the main drivers of the Late Pleistocene dynamics of steppe- and cold-adapted species."
4108948,"Stone tools in shifting sands: past, present, and future perspectives on the Châtelperronian stone tool industry","Djakovic, I.; Roussel, M.B.; Soressi, M.A.                                                         2024",,Article / Letter to editor,open access,"The Middle to Upper Palaeolithic transition in France and northern Spain reflects the transition from Neandertals toand the emergence of novel cultural entities and standardised blade and bladelet technologies between ~ 55 and 40 thousand years ago. The Châtelperronian stone tool industry represents the first unambiguous appearance of Upper Palaeolithic technologies in this region, and is traditionally considered as representing a geographically isolated archaeological entity produced by late Neandertals. However, debate as to the makers and origin of this industry has been ever-present. In recent years, fuel has been thrown onto this discussion through (a) the demonstration that the association between Neandertal remains and Châtelperronian artefacts at the key site of Saint-Césaire could not be reliable, (b) the identification of an immaturepelvic fragment in association with Neandertal remains and Châtelperronian artefacts at the Grotte du Renne (Arcy-sur-Cure), and (c) the formulation of a disruptive hypothesis in which the Châtelperronian directly originates from the Early Upper Palaeolithic of the Levant. In conjunction with the increasing evidence for a protracted presence ofacross Europe, these observations have led to the arrival of an inflection point for the competing interpretations concerning the origin and implications of this industry. In this paper, we provide a critical review of the Châtelperronian in light of the emerging data—taking into account technological, chronological, geographic, stratigraphic, and genetic perspectives. First we provide a detailed, three-part historiography of this industry and a modern, synthetic review of Châtelperronian lithic technology. Our review reinforces the fact that the Châtelperronian is a fully Upper Palaeolithic industry with no ‘transitional’ nor Initial Upper Palaeolithic-type technological features. Subsequently, we highlight a series of prospects, problems, and uncertainties which remain to be addressed in discussions concerning the origins, maker(s), and implications of the Châtelperronian and the onset of the Upper Palaeolithic in western Europe. Finally, we propose a few potential paths forward and call for an open and critical approach towards the re-conceptualisation of the Châtelperronian in the years to come."
4092601,Weapons of choice: exploring Late Bronze Age attitudes towards martiality through experimentation and micro-wear analysis,"Gentile, V.                                                         2024",,Doctoral Thesis,some documents under embargo,"This research explores the relationship between combat and its cultural significance in the Bronze Age. By reconstructing the events surrounding the deliberate deposition of bronze weapons into rivers, the study seeks to cast more light on the martial values and practices of the time. Experimental archaeology and micro-wear analysis are used to investigate the use-life of Bronze Age weaponry. A systematic experimental methodology to study the wear formation dynamics of bronze swords and spears is developed and applied.The wear formation dynamics are thoroughly studied with a focus on the relationship between the combat movement and style performed and the type of wear developed.A selection of Late Bronze Age weapons from watery depositions in the Low Countries has been found bearing marks consistent with (skilled) use in combat. The social significance of the practices and identities associated with the use of bronze weaponry is explored, suggesting that these weapons may have become prominent in Bronze Age martial discourse as a means of exhibiting qualities of risk-taking and prowess."
4211953,"Review of Byer, A. (2022) Heritage, landscape and spatial justice: new legal perspectives on heritage protection in the Lesser Antilles","Waal, M.S. de                                                         2024",,Book review,open access,
4092578,Serial learners: interactions between Funnel Beaker West and Corded Ware communities in the Netherlands during the third millennium BCE from the perspective of ceramic technology,"Kroon, E.J.                                                         2024",,Doctoral Thesis,open access,"5000 years ago, a migration shaped Europe’s future. Migrating communities spread across Europe within two centuries, leaving lasting changes in connectivity, language, and genetics. Yet these migrating communities did not enter an empty continent. Across Europe, they encountered indigenous communities with millennia-old roots. What interactions between migrating and indigenous communities drove the changes seen in the archaeological record? This dissertation sheds new light on this question with an innovative approach to ceramics. Ceramics bear traces of production techniques which potters learned and applied to create them. The approach outlined here can quantitatively assess the amount of shared knowledge between potters from these traces by combining the chaîne opératoire method with network analysis and probability theory. This approach is applied to ceramics from migrating Corded Ware communities and indigenous Funnel Beaker West communities in the Netherlands to detect whether potters in these communities interacted and shared knowledge. The outcomes offer a unique perspective on this period and prehistoric migrations in general. Migrating and indigenous communities are shown to co-exist for several centuries at the start of the third millennium BCE with evidence for migrant potters learning repeatedly from indigenous potters and incorporating this knowledge into the production of Corded Ware vessels."
4177769,Living and Dying on the Roman Frontier and Beyond: Proceedings of the 25th International Congress of Roman Frontier Studies,"Enckevort, H. van; Driessen, M.; Graafstal, E.; Hazenberg, T.; Ivleva, T.; Driel, C. van                                                         2024",,Book editorial,open access,"This publication – Living and Dying on the Roman Frontiers and Beyond – is the third volume of the LIMES XXV’s congress proceedings and deals with a variety of themes, including the iconography of victory; aspects of frontier societies; mobility and the place of children; funerary archaeology; the significance of Roman imports beyond the frontiers. The proceedings are mostly arranged around the original sessions, creating coherent thematical collections that make the vast output more accessible to generalists and specialists alike.Frontiers are zones, or lines, of contact and coercion, of exchange and exclusion. As such they often express some of the most typical elements of the socio-political spaces that are defined by them. Spanning some 6,000 km along rivers, mountain ranges, artificial barriers and fringes of semi-desert, the frontiers of the Roman empire offer a wide variety of avenues and topics for a very diverse community of scholars. They are the central subject of the International Congress of Roman Frontier Studies (or just Limes Congress after the Latin word for ‘border’), organised every three years since 1949. This four-volume publication contains most of the papers presented at the 25th edition which was hosted by the municipality of Nijmegen in August 2022."
4177771,Supplying the Roman Empire: Proceedings of the 25th International Congress of Roman Frontier Studies,"Enckevort, H. van; Driessen, M.; Graafstal, E.; Hazenberg, T.; Ivleva, T.; Driel, C. van                                                         2024",,Book editorial,open access,"This publication – Supplying the Roman Empire – is the fourth volume of the LIMES XXV’s congress proceedings and deals with various aspects of the supply and provisioning of the Roman empire, and the role of the Roman armies housed on its fringes herein. The result is a wide-ranging collection of papers dealing with topics such as: finds of organic material; riverine and maritime supply and security; militarily controlled mining; building material procurement and processing; agro-political schemes and water management; military material culture. The proceedings are all arranged around the original sessions, trying to create coherent thematical collections that make the vast output more accessible to generalists and specialists alike.Frontiers are zones, or lines, of contact and coercion, of exchange and exclusion. As such they often express some of the most typical elements of the socio-political spaces that are defined by them. Spanning some 6,000 km along rivers, mountain ranges, artificial barriers and fringes of semi-desert, the frontiers of the Roman empire offer a wide variety of avenues and topics for a very diverse community of scholars. They are the central subject of the International Congress of Roman Frontier Studies (or just Limes Congress after the Latin word for ‘border’), organised every three years since 1949. This four-volume publication contains most of the papers presented at the 25th edition which was hosted by the municipality of Nijmegen in August 2022."
4177767,Strategy and Structures Along the Roman Frontier: Proceedings of the 25th International Congress of Roman Frontier Studies,"Enckevort, H. van; Driessen, M.; Graafstal, E.; Hazenberg, T.; Ivleva, T.; Driel, C. van                                                         2024",,Book editorial,open access,"This publication – Strategy and Structures along the Roman Frontiers – is the second volume of the LIMES XXV’s congress proceedings and deals with the following themes: Roman military activities during the Republic; the early frontier formation processes and tribal reshuffling; new insights in the installations of the Roman armies; an odyssey along different Limes regions; the collapse of Roman frontiers; the afterlife of frontier fortifications. The proceedings are all arranged around the original sessions, creating coherent thematical collections that make the vast output more accessible to generalists and specialists alike.Frontiers are zones, or lines, of contact and coercion, of exchange and exclusion. As such they often express some of the most typical elements of the socio-political spaces that are defined by them. Spanning some 6,000 km along rivers, mountain ranges, artificial barriers and fringes of semi-desert, the frontiers of the Roman empire offer a wide variety of avenues and topics for a very diverse community of scholars. They are the central subject of the International Congress of Roman Frontier Studies (or just Limes Congress after the Latin word for ‘border’), organised every three years since 1949. This four-volume publication contains most of the papers presented at the 25th edition which was hosted by the municipality of Nijmegen in August 2022."
4177765,Current Approaches to Roman Frontiers: Proceedings of the 25th International Congress of Roman Frontier Studies,"Enckevort, H. van; Driessen, M.J.; Graafstal, E.; Hazenberg, T.; Ivleva, T.; Driel, C. van                                                         2024",,Book editorial,open access,"This publication – Current Approaches to Roman Frontiers – is the first volume of the LIMES XXV’s congress proceedings arranged around the original sessions, in order to form coherent thematical collections that make the vast output more accessible to generalists and specialists alike. This volume starts with a recap of the congress. Regarding the themes it deals with a contemporary feminist approach; new digital methodologies and computational modelling; three themes on archaeological heritage management dealing inter alia with preservation, protection, citizen science and World Heritage aspects, and a comparison between the Roman Limes and the Great Wall of China. It ends with an overview of the sessions and lectures of the congress in Nijmegen.Frontiers are zones, or lines, of contact and coercion, of exchange and exclusion. As such they often express some of the most typical elements of the socio-political spaces that are defined by them. Spanning some 6,000 km along rivers, mountain ranges, artificial barriers and fringes of semi-desert, the frontiers of the Roman empire offer a wide variety of avenues and topics for a very diverse community of scholars. They are the central subject of the International Congress of Roman Frontier Studies (or just Limes Congress after the Latin word for ‘border’), organised every three years since 1949. This four-volume publication contains most of the papers presented at the 25th edition which was hosted by the municipality of Nijmegen in August 2022."
4176711,A new Roman camp north of the Lower German Limes at Ermelo (the Netherlands),"Driessen, M.J.; Verschoof-van der Vaart, W.                                                         2024",,Article in monograph or in proceedings,open access,"The Roman limes in the Netherlands consists of a modest 150 km of riverine frontier, excluding the – frequently neglected – coastal military defences. The Dutch waterscape border zone is quite densely packed with military installations and houses more than 20 castra and castella. For decades Roman military studies focused on these installations, their inhabitants and environs, overlooking other military structures such as, for instance, temporary camps. That this is not unique to the Dutch situation is underlined by Rebecca Jones (2017, 521) labelling them as the ‘Cinderella of Roman military studies’ in a 2009 Limes Congress session. Consequently, until recently only one Roman camp was known in the Netherlands outside the limes zone: Ermelo-Leuvenum (fig. 1B). However, recent archaeological research has resulted in the discovery of a newRoman camp (fig. 1A) in the vicinity of Ermelo and the known camp, about 40 km north of the limes."
3673392,Digital Archaeology: Promises and Impasses,"Kalayci, T.; Lambers, K.; Klinkenberg, V.                                                         2023",,Book editorial,under embargo until 2025-11-23,"Archaeology has gone digital for some time now! Topics such as GIS databases, 3D models, drone photography, meta- and para-data, semantic mapping, text mining, simulation, and social network analysis have become commonplace in archaeological discourse and practice. Digital and technological advancements seemingly offer limitless promises for data recording, analysis and dissemination. Yet, after several decades of innovation, we must ask ourselves which of these promises are actually fulfilled, and which persistent impasses are present. Today, some reflexive questions are more important than ever. In particular, when, how and why do our innovative archaeology tools fail? Do we approach our archaeological projects with a digital wand and (implicitly or explicitly) expect a magical solution? And when there is indeed a digital solution, at what expense does it come?In this volume, scholars and practitioners in the field discuss the state of the art, as well as the promises and impasses that digital approaches to archaeology entail. The authors discuss the current state of teaching digital archaeology, the societal impact of digital innovations, current issues in archaeological data management, promises and limitations of isotopic research and remote sensing techniques, and why subfields such as agent-based modelling and serious gaming struggle to keep momentum."
3663464,Introduction: Leiden perspectives on digital archaeology,"Lambers, K.                                                         2023",,Part of book or chapter of book,open access,This chapter introduces the topic of the edited volume and reviews students' perspectives on digital archaeology.
3674438,"Isotopes, isoscapes, and the search for geographic origins: unrealized potential or unrealisitc expectations","Laffoon, J.E.; Sonnemann, T.F.                                                         2023",,Part of book or chapter of book,open access,
3718727,Data exchange protocol in Dutch archaeology,"Wansleeben, M.; Laan, W.; Visser, R.                                                         2023",,Part of book or chapter of book,open access,
3633950,"Dwellings with three rooms: a new type of architecture at late seventh millennium BCE Tell Sabi Abyad, Syria","Akkermans, P.M.M.G.; Brüning, M.L.                                                         2023",,Part of book or chapter of book,metadata only,
3633951,Chemical study of bitumens from Tell Sabi Abyad (Syria) from 7000 BCE to 1150 BCE,"Connan, J.; Nilhamn, B.; Engel, M.H.; Zumberge, A.; Akkermans, P.M.M.G.; Abdula, R.A.                                                         2023",,Part of book or chapter of book,metadata only,
3633952,Style and society in the prehistory of West Asia: essays in honour of Olivier P. Nieuwenhuyse,"During, B.S.; Akkermans, P.M.M.G.                                                         2023",,Book editorial,metadata only,
3714107,"Reading Greek and Hellenistic-Roman Spolia: objects, appropriation and cultural change","Jong, I.J.F.; Versluys, M.J.                                                         2023",,Book editorial,open access,"Plundering and taking home precious objects from a defeated enemy was a widespread activity in the Greek and Hellenistic-Roman world. In this volume literary critics, historians and archaeologists join forces in investigating this phenomenon in terms of appropriation and cultural change. In-depth interpretations of famous ancient spoliations, like that of the Greeks after Plataea or the Romans after the capture of Jerusalem, reveal a fascinating paradox: while the material record shows an eager incorporation of new objects, the texts display abhorrence of the negative effects they were thought to bring along. As this volume demonstrates, both reactions testify to the crucial innovative impact objects from abroad may have."
4177122,Uniformity in tophet ceramics? A petrographic overview of urn and lid production,"Braekmans, D.J.G.; Garnand, B.K.; Greene, J.; Degryse, P.A.I.H.                                                         2023",,Article / Letter to editor,open access,"Burial urns and lids found in the Carthageprecinct play a pivotal role in our understanding of material trajectories. Significant differences in macroscopic features present problems as to where and how these vessels were made. In general, issues in sourcing north African ceramic materials stem from their compositional homogeneity, having mostly sand and calcareous fractions varying to a greater or lesser degree. In this paper we present the results of a petrographic study of ceramic materials in order to understand the different fabrics present within theassemblage, with the ultimate aim of determining whether or not their production took place in Carthage itself and to trace transformations in local and regional ceramic fabric types."
3656881,"Direitos negados, patrimônios roubados: desafios para a proteção dos conhecimentos tradicionais, dos recursos genéticos e das expressões culturais tradicionais dos povos indígenas no cenário internacional","Belfort, L.F.I.                                                         2023",,Doctoral Thesis,open access,"The text deals with the protection of indigenous peoples' cultural heritage in the context of the United Nations, with an emphasis on traditional knowledge, genetic resources and traditional cultural expressions as one of the challenges of contemporary law. The incorporation of rights already recognised in multilateral treaties on human rights, culture and biodiversity into the intellectual property system has been the demand of Indigenous Peoples in the discussion process underway in the World Intellectual Property Organisation's Intergovernmental Committee on Intellectual Property and Traditional Knowledge, Genetic Resources and Folklore since 2000. The topic is analysed from the perspective of indigenous peoples, as collective subjects of international rights, authors, inventors and improvers, with the capacity to create and innovate using technologies that are continuously improved in their collective context. The work examines the contemporary challenges of balancing the rights of indigenous peoples and the large commercial interests involved in granting exclusive intellectual property rights. The thesis analyses, from the contexts of different indigenous peoples, the suitability of existing tools in the intellectual property system to prevent the erroneous granting of intellectual property rights and to prevent the misappropriation of the elements that integrate the cultural heritage of indigenous peoples."
3674398,"Beaver exploitation, 400,000 years ago, testifies to prey choice diversity of Middle Pleistocene hominins","Gaudzinski-Windheuser, S.; Kindler, L.; Roebroeks, W.                                                         2023",,Article / Letter to editor,open access,"Data regarding the subsistence base of early hominins are heavily biased in favor of the animal component of their diets, in particular the remains of large mammals, which are generally much better preserved at archaeological sites than the bones of smaller animals, let alone the remains of plant food. Exploitation of smaller game is very rarely documented before the latest phases of the Pleistocene, which is often taken to imply narrow diets of archaicand interpreted as a striking economic difference between Late Pleistocene and earlier hominins. We present new data that contradict this view of Middle Pleistocene Lower Palaeolithic hominins: cut mark evidence demonstrating systematic exploitation of beavers, identified in the large faunal assemblage from the c. 400,000 years old hominin site Bilzingsleben, in central Germany. In combination with a prime-age dominated mortality profile, this cut mark record shows that the rich beaver assemblage resulted from repetitive human hunting activities, with a focus on young adult individuals. The Bilzingsleben beaver exploitation evidence demonstrates a greater diversity of prey choice by Middle Pleistocene hominins than commonly acknowledged, and a much deeper history of broad-spectrum subsistence than commonly assumed, already visible in prey choices 400,000 years ago."
3704575,Gandhara in context: boeddhistische stoepareliefs als klassieke kunst?,"Aerde, M.E.J.J. van                                                         2023",,Article / Letter to editor,open access,"Wat is de oorsprong van de vaak zo klassiek ogende Gandharakunst uit het oude India? Dit artikel biedt een historisch overzicht, benoemt recente archeologische onderzoeksresultaten, en beschouwt tot slot de implicaties voor het erfgoed- en museumbeleid aangaande deze sculpturen."
3715916,"The importance of nutrition-sensitive fisheries management: women's dietary diversity in Marovo Lagoon, Solomon Islands","Rabbitt, S.; Lilley, I.; Albert, S.; Albert, J.; Tibbetts, I.                                                         2023",,Article / Letter to editor,open access,"Feeding a growing global population is one of the most significant challenges currently facing society. Global malnutrition rates remain high, and tackling this problem in the context of global population growth and ecosystem declines will require con­certed effort across many sectors. Fish has been suggested as key to addressing high rates of malnu­trition in the South Pacific region, given that it is a rich source of highly bioavailable micronutrients and is common in traditional diets. Unfortunately, there are predictions that fish catch in this region may decline by more than 20% in the coming decades, threatening food and nutritional security. Women are key to breaking the cycle of malnutri­tion and play important roles in small-scale coastal fisheries in the South Pacific. This study assessed women’s dietary diversity and the importance of fresh fish to women’s diets in a rural coastal com­munity in Marovo Lagoon, Solomon Islands, over four sampling periods. We found that women’s dietary diversity in the community was low (mean MDD-W = 3.03 ± 0.06) and that fresh fish was consumed by more than 70% of the women sur­veyed in three of the four sampling periods. Our results showed some seasonal differences in dietary diversity, highlighting the importance of sampling across seasons to better capture true nutrition. We consider these results in the context of community-based fisheries management and argue for the need to improve fisheries management by including con­sideration of women’s fishing and promoting the importance of fish to human health."
3715339,Antibody-based sex determination of human skeletal remains,"Shaw, B.; Foggin, S.; Hamilton-Stanley, P.; Barlow, A.; Pickard, C.; Fibiger, L.; ... ; Schrader, S., Layfield, R.                                                         2023",,Article / Letter to editor,open access,"Assignment of biological sex to skeletal remains is critical in the accurate reconstruction of the past. Analysis of sex-chromosome encoded AMELX and AMELY peptides from the enamel protein amelogenin underpins a minimally destructive mass spectrometry (MS)method for sex determination of human remains. However, access to such specialist approaches limits applicability. As a convenient alternative, we generated antibodies that distinguish human AMELX and AMELY. Purified antibodies demonstrated high selectivity and quantitative detection against synthetic peptides by ELISA. Using acid etches of enamel from post-medieval skeletons, antibody determinations corrected osteological uncertainties and matched parallel MS, and for Bronze Age samples where only enamel was preserved, also matched MS analyses. Toward improved throughput, automated stations were applied to analyze 19th-century teeth where sex of individuals was documented, confirming MS can be bypassed. Our immunological tools should underpin development of routine, economical, high-throughput methods for sex determination, potentially even in a field setting."
3656009,Human-beaver cohabitation in the Early and Mid-Holocene of Northern Europe: re-visiting Mesolithic material culture and ecology through a multispecies lens,"Hussain, S.T.; Brusgaard, N.Ø.                                                         2023",,Article / Letter to editor,open access,"The Eurasian beaver () was an important member of Early and Mid-Holocene landscapes and animal communities in Northern Europe. Previous zooarchaeological research has established the alimentary roles of beavers for Mesolithic societies and their importance for fur procurement. In this paper, we develop an integrated biocultural approach to human-beaver interactions, examining the position of humans and beavers in Mesolithic and Early Neolithic multispecies systems. We contextualize beaver landscape agency in hydroactive environments with human behaviour, synthesizing currently available data on mammalian assemblages, ichtyofauna and beaver-related material culture across Northern Europe. This cross-cultural, diachronic analysis reveals previously overlooked facilitations of human behaviour by beaver practices and ecological legacies. We show that long-term trajectories of human-beaver cohabitation differed between northern European regions. While in Southern Scandinavia, human-beaver intersections witnessed major re-organizations during the Mid-Holocene, beavers retained a key role for human societies across Northeastern Europe throughout much of the Holocene and played an important part at the Mesolithic-Neolithic transition in the Dutch wetlands. Divergent pathways are also evidenced by Mesolithic beaver-related material culture, highlighting the cultural keystone status ofin higher latitude European landscapes. We argue that this keystone status is grounded in the supply of human hunting, fishing, and gathering affordances by the animals, pointing to the generative commensality between Mesolithic foragers and their beaver neighbours. Taken together, our findings demonstrate the importance of the beaver in the making of Early and Mid-Holocene forager societies in Northern Europe and illustrate the fruitfulness of deploying an integrated multispecies approach."
3656125,"All roads lead to Beijing: politics, power, and profits of the roads","Amarasinghe, P.; Kalaycı, T.; Aerde, M. van                                                         2023",,Part of book or chapter of book,open access,"Amarasinghe, Kalaycı, and van Aerde study the Silk Road network as an object of political infrastructure. Their aim is to shed light on the modern “Belt and Road Initiative” (BRI) project led by China. The authors begin their investigation by highlighting the Silk Road’s intricate history, composed of multiple agents ranging from individuals to empires. They scrutinize the normative historiography of the Silk Road and pinpoint the problematic areas in the narrative. Their focus is mainly to identify the Chinese contributions to this Eurasian project, as well as how the current narrative is selectively exploited by the BRI project as a proxy for China’s ambition to achieve global governance."
3655457,A framework for investigating the application of educational theories in engineering education research,"Werf, V. van der; Helden, G. van; Schleiss, J.; Saunders-Smits, G.N.                                                         2023",,Article in monograph or in proceedings,open access,
3643183,"We navel-string bury here: Landscape history, representation and identity in the Grenada islandscape","Martin, J.A.                                                         2023",,Doctoral Thesis,open access,"This study explores the process of identity creation in the Caribbean archipelagic space by examining the last five centuries of Grenada’s layered history through detailing and analyzing the major human-environment interactions that have transformed its landscape, particularly following the invasion of Europeans since the 17th century and the establishment of plantation agriculture and slavery (utilizing enslaved Africans and their descendants), village settlements and subsistence agriculture, and much later tourism. It will analyze its landscape transformations by examining land use and settlement patterns of its human occupants from the Indigenous Kali’nago to its current inhabitants via the concept of creolization. Centuries of interactions between and among these various groups of people and the Grenadian environment have created a landscape best described as a palimpsest where layer upon layer of interactions intertwine, overwrite and blend with each other through time. Yet leaving glimpses or blurred pictures of impacts in various and discernable ways, thus creating a long-term biography of this islandscape. By examining the Grenadian palimpsest and analyzing the concept of landscape identity through historical representations and memory-traces embedded in the Creole cultural landscape this study explores the relationship between people and the landscape over time."
