id,title,author,year,resource_type,availability,abstract
4210348,"From compliance to security, responsibility beyond law","Boeken, J.                                                         2024",,Article / Letter to editor,open access,"In this opinion piece, I advocate for the adoption of a care-based stakeholder approach in cybersecurity for companies. With the ever-increasing digitization of all aspects of life, companies are struggling to keep them selves and their customers secure. This is, at least in part, due to their focus on compliance to standards and regulations, they fall victim to a checkbox-mentality where compliance instead of security is seen as the goal. This strong focus on compliance creates security blind-spots and the negative impact it has on security is strengthened by the “pacing problem” – where technology evolves faster than the law. Thus, leaving a gap where there is a lack of legislation and enforcement for new technologies. In this opinion piece I argue that the re sponsibility for cybersecurity should be shared by governments and companies. To give companies the tools they need for ethical decision-making and thus truly take responsibility, I suggest combining the ethics of care with stakeholder theory to provide a context-based relational view of companies. With this caring stakeholder model, companies have the tools they need to transition from compliance to security."
3847379,Evidence for policy-makers: a matter of timing and certainty?,"Lammers, W.; Pattyn, V.E.; Ferrari, S.; Wenmackers, S.; Walle, S. Van de                                                         2024",,Article / Letter to editor,open access,"This article investigates how certainty and timing of evidence introduction impact the uptake of evidence by policy-makers in collective deliberations. Little is known about how experts or researchers should time the introduction of uncertain evidence for policy-makers. With a computational model based on the Hegselmann–Krause opinion dynamics model, we simulate how policy-makers update their opinions in light of new evidence. We illustrate the use of our model with two examples in which timing and certainty matter for policy-making: intelligence analysts scouting potential terrorist activity and food safety inspections of chicken meat. Our computations indicate that evidence should come early to convince policy-makers, regardless of how certain it is. Even if the evidence is quite certain, it will not convince all policy-makers. Next to its substantive contribution, the article also showcases the methodological innovation that agent-based models can bring for a better understanding of the science–policy nexus. The model can be endlessly adapted to generate hypotheses and simulate interactions that cannot be empirically tested."
4196487,Organizing public sector AI adoption: navigating between separation and integration,"Selten, F.J.; Klievink, A.J.                                                         2024",,Article / Letter to editor,metadata only,
4211555,The Baku Research Institute (BRI) an independent think tank in Azerbaijan,"Figari Barberis, C.                                                         2024",,Part of book or chapter of book,open access,"Azerbaijan is an authoritarian country, with major limitations on the exercise of basic liberties. Academia, media, think tanks, and NGOs are, for the most part, directly or indirectly under the influence and/or control of the state, which limits their independence and freedom of expression. Within this authoritarian context, the Baku Research Institute (BRI) stands out as one of the few independent organizations in the country. Through interviews with its founder and one of its members, this chapter discusses how BRI preserved its independence, withstanding repeated attempts by the Azerbaijani government to co-opt it and undermine its work. Finally, given how Azerbaijan is geopolitically positioned between the West and Russia, the chapter also discusses how BRI navigates East-West relations."
4054813,Missing the mark? A typology of lethal and non-lethal firearm violence in the Netherlands,"Krüsselmann, K.; Aarten, P.G.M.; Liem, M.C.A.                                                         2024",,Article / Letter to editor,open access,"Firearm violence in Europe is a complex phenomenon; it manifests itself in various contexts and circumstances, involving different types of victims and perpetrators. Yet, previous research does not account for this complexity and focuses mainly on lethal firearm violence alone. In this study, we use 243 cases of lethal shootings (2015–2021) and 807 cases of non-lethal shootings in the Netherlands (2018–2021) to build a typology of firearm violence using agglomerative hierarchical clustering. The analysis results show five distinct types: urban lethal shootings, urban injurious shootings, and urban non-injurious shootings, as well as suburban and rural shootings. Those categories differ mainly in the lethality, urbanity, context, and location of the shootings. We conclude that the inclusion of non-lethal firearm violence is necessary in understanding and act upon this multifaceted problem."
4212462,Japan's local governments and governance under population decline,"Suzuki, K.                                                         2024",,Part of book or chapter of book,open access,"This chapter aims to provide a brief overview of Japan’s local government system, including an examination of the significant challenges they face. The local government system operates on a two-tiered structure, with prefectures serving as regional governments and municipalities serving as local governments. This chapter focuses primarily on the municipal level of government. First, a brief historical background of Japan’s modern local government system is provided. Second, the author reviews the fundamental institutional characteristics of Japanese local governments, including size, responsibilities, and public finance. Third, the focus shifts to leadership selection in Japanese local governments and their different challenges. Fourth, characteristics of local civil servants are explained, focusing on their personnel system. The fifth section delves into the latest nationwide municipal merger reform and discusses results of empirical studies on its effects. The sixth section refers to demographic challenges many local governments have been facing. Finally, the last part of the chapter concludes with suggestions for future research avenues."
3947607,"Een driesnijdend zwaard: bureaucratie, ambtenaren en vrijheid: bureaucratie en ambtenaren als hulp voor en be-dreiging van een duurzame democratische recht-staat en persoonlijke vrijheid","Meer, F.M. van der                                                         2024",,Book (monograph),open access,
4210525,Issue prioritisation decisions by local politicians: the role of order effects and justification requirements,"Lerusse, A.V.                                                         2024",,Article / Letter to editor,metadata only,
4107419,Securing chemical facilities against intentional attacks: a Bayesian network approach for asset risk assessment,"Marroni, G.; Casson Moreno, V.; Kuipers, S.L.; Mossa Verre, M.; Landucci, G.                                                         2024",,Article / Letter to editor,open access,"The consequences of a successful intentional attack to a process facility can be severe and could propagate among units generating the so-called domino effects, with potential effects on people, the environment, and assets. For these reasons, institutions and practitioners have found interest in determining the entity of damages associated with these events and integrating them into conventional safety and economic analyses. Still, approaches devoted to assessing the economic losses associated with intentional attacks have received less attention in the literature. This work presents a methodology to evaluate asset losses associated to intentional attacks. A probabilistic approach based on Bayesian Networks was adopted to include several factors associated to intrusion scenarios and their interdependencies. The developed methodology was then applied to a case study to demonstrate its potentialities. A demonstrational attack scenario was considered to test the methodology. The results show that a successful intentional attack might indeed lead not only to direct consequences on people, but also to relevant economical losses. Moreover, factoring in the synergistic performance of safety and security barriers allows to improve the estimation of asset losses."
4211744,"Rapportage verkenning anonieme brief. Directies Werk, Participatie en Inkomen: Over racisme en discriminatie bij de gemeente Amsterdam","Çelik, S.; Berndsen, M.; Baggen, M.                                                         2024",,External research report,open access,
4210257,Emotions in EU foreign policy: when and how do they matter?,"Gürkan, S.; Terzi, Ö.                                                         2024",,Article / Letter to editor,open access,"Despite the increasing importance of emotions in explaining political behaviour, the study of emotions in EU policies and politics remains still very limited. The core objective of this special issue is to fill this gap by shedding light on the role of ‘emotions’ in EU foreign policy and to launch a call to EU foreign policy scholars for taking emotions seriously. By analysing multiple foreign policy cases across different geographies and by elucidating the plurality of emotions expressed by the EU, the contributions to this special issue show how and when emotions bear an impact on the EU’s foreign policy decisions and actions in the cases of internationalnorm violations by external actors. The introduction sets the framework for analysing different roles that emotions might play in EU foreign policy by introducing enabling and constraining mechanisms, whereby the EU’s emotional expressions lead to action/inaction through its institutionalised appraisal process."
4107464,Answering authoritarian state asymmetric state challenges: tools for deterring hybrid threats and non-military coercion from China and Russia,"Fisher, S.; Klein, G.R.E.; Codjo, J.; Pupcenoks, J.                                                         2024",,Article / Letter to editor,open access,"For US leaders and policy makers attempting to deter or punish asymmetric challenges from China, Russia, and other authoritarian states, information has been an underutilized tool. Beijing and Moscow react more negatively to information tools, especially those that challenge regime controls over information, than they do to military, economic, and diplomatic tools. US policy makers should focus on criticizing censorship, advocating for freedom of information access, and using technical or cyber means to undermine information/communication controls in authoritarian states. Doing so offers an opportunity for the United States and its democratic allies to balance authoritarian state practices designed to manipulate the open information environments of democratic societies, with a tool that targets authoritarian regimes’ reliance on information control to maintain power."
3764657,"De kat, de kameleon en de zwaardvis die zich een walrus voelde: publieke audit en verantwoording als wezenlijk politieke en emotionele activiteiten","Keulen, S.J.                                                         2024",,Inaugural lecture,open access,
4209565,"Racionalidades, clausuras y dilemas. Problemas éticos y metodológicos en el trabajo de campo con varones perpetradores de violencia hacia sus parejas mujeres","Di Marco, M.H.; Santi María, F.                                                         2024",,Article / Letter to editor,metadata only,
4082142,"‘Of the utmost importance for the survival of mankind’ the Alerdinck Foundation, the media, and citizen diplomacy to end the cold war, 1984–1992","Scott-Smith, G.P.                                                         2024",,Article / Letter to editor,metadata only,
4038063,"Politiestudies in Nederland: een terugblik, de actuele stand van zaken en toekomstperspectief","Paepe, J. de; Matthys, J.; Bakker, E.                                                         2024",,Part of book or chapter of book,open access,
3763857,"Social Subjecthood? The inclusion of (post)colonial migrants in Dutch, French, and British welfare states, 1945-1970","Wolff, E.A.                                                         2024",,Doctoral Thesis,open access,"If diversity counteracts solidarity, as welfare state scholarship commonly concludes, then how did the expansion of European welfare states in the postwar period coexist with (post)colonial migrations? Through a historical-interpretivist lens, this dissertation studies the inclusion of migrants from the Caribbean, Algeria, and present-day Indonesia in post-war British, French, and Dutch welfare states respectively. It documents a variety of inclusions on unequal terms in French and Dutch welfare states. While those who qualified as repatriates received aid under targeted assistance schemes and expedited access to social security, many who had been disadvantaged under colonial legal codes were directed towards paternalistic arms of the welfare state aimed at surveillance and cultural conversion. In the UK, street-level discrimination and restricitonist immigration law marred the promise of equality under the Beveridgean welfare state for Caribbean citizens. These patterns were racialised, but not inevitable. Ideological efforts to construct certain migrants as deserving cultural insiders have important explanatory power. This dissertation improves the theoretical toolkit available to welfare state scholars interested in inclusion, and elucidates the relationship between race and redistribution. Diversity neither caused retrenchment, nor threatened solidarity. Rather, (post)colonial migrations offered contemporaries an opportunity to consciously and manually create it."
4108439,Global governance innovation report 2024: advancing human security through a new global economic governance architecture,"Ponzio, R.; Yusuf, N.; Larik, J.E.                                                         2024",,External research report,open access,"Since its introduction by Mahbub ul Haq in Human Development Report 1993, the powerful notion of human security has evolved, incorporating principles of justice while elevating nature and technology’s roles in safeguarding and enriching human life. Still, its original insight from over three decades ago holds true: secure nations require a sense of security, well-being, and belonging among their citizens too. But with only fifteen percent of the Sustainable Development Goals on track to be met by 2030, and as hundreds of millions face extreme poverty worldwide, human security seems out of reach for too many people. Against this challenging backdrop, global economic governance needs outside-thebox ideas supporting broad-based, greener development. This report, focusing on UN system-G20 economic coordination, financing for development, global monetary and fiscal policy, and “new frontiers” in governing global trade (including artificial intelligence, sustainability, and futures thinking), considers proactive global institutional, legal, policy, normative, and operational innovations to inform the agenda and help to raise ambitions of the Summit of the Future. Central to a strategy for achieving human security for all, GGIR’24 underscores the importance of skillful multilateral diplomacy and the recent formation of ImPact Coalitions—assembling expertise across civil society in partnership with champion governments—in the adoption of several far-reaching, high impact global governance reforms. Success also hinges on a robust, closely monitored follow-up effort to support the goals and commitments reached at the summit."
4211736,Community policing en technologie: uitdagingen en kansen in het digitale tijdperk,"Paepe, J. de; Easton, M.                                                         2024",,Part of book or chapter of book,open access,
4039444,Patterns of female homicide victimization in Western Europe,"Liem, M.C.A.; Aarten, P.; Granath, S.; Kivivuori, J.; Langlade, A.; Larchet, K.; ... ; Walser, S.                                                         2024",,Article / Letter to editor,open access,"Recent years witnessed an increase in attention to femicide, or the killing of women because of their gender. Prior empirical studies have drawn attention to the prevalence of female homicide victimization, but most have been unable to give a detailed overview of the specifc contexts in which women are killed, and to what extent female homicide victimization is unique, i.e., in that it difers from male victimization. This exploratory study aims, frst, to map the nature and scope of female homicide in six European countries: Denmark, Finland, France, the Netherlands, Sweden and Switzerland; and, secondly, to compare female homicide victimization with male homicide victimization. Using data from a new uniform homicide recording system, the European Homicide Monitor, this study allowed for unique cross-country comparisons and a detailed breakdown by victim-ofender relationship, and type of homicide. Results indicated that female homicide victimization rates remained relatively stable during the last decade, with a narrowing gender gap. Furthermore, results refected substantial heterogeneity in the context in which women were victimized. Finally, female homicide victimization difers in many respects from male victimization, but overlaps do exist. Such heterogeneity, and possible overlaps with male victimization call for diferential approaches."
3759918,Wat is hier de bedoeling? Tussen eenvoud en meervoud in publiek leiderschap,"Kuipers, B.S.                                                         2024",,Inaugural lecture,open access,Oratie uitgesproken door Prof.dr. Ben S. Kuipers bij de aanvaarding van het ambt van hoogleraar Publiek Leiderschap aan de Universiteit Leiden op vrijdag 14 juni 2024
3759918,Wat is hier de bedoeling? Tussen eenvoud en meervoud in publiek leiderschap,"Kuipers, B.S.                                                         2024",,Inaugural lecture,open access,
4082132,"Police patrols, fire alarms, or ambulance chasers? Parliamentary oversight of European monetary policy and banking supervision","Akbik, A. Diessner, S.                                                         2024",,Article / Letter to editor,open access,
4094356,De gebroken belofte van de rechtsstaat: tien verbetervoorstellen met oog voor de burger,"Staatscommissie Rechtsstaat; Kummeling, H.; Çapkurt, F.; Hertogh, M.; Abdoeljamil, C.; González Pérez, E.; ... ; Yesilkagit, K.                                                         2024",,External research report,open access,
4092378,OSINT and the war in Ukraine: workshop summary,"Van Puyvelde D.T.N.; Tabarez Rienzi, F.                                                         2024",,Research paper,open access,
4038205,Holding ISIL accountable: prosecuting crimes in Iraq and Syria,"Ashraph, S; Cheung Ka-Man, C; Cook, J.L.I.                                                         2024",,Book editorial,open access,"In the aftermath of the collapse of the Islamic State of Iraq and the Levant’s self-declared “caliphate,” the international community has grappled with the question of how to achieve accountability for crimes committed by the armed group. While prosecutions of captured ISIL fighters and other ISIL-affiliated individuals are occurring, they have to date overwhelmingly focused on terrorism-related offences without addressing core international crimes–including genocide, crimes against humanity, and war crimes–that may have been perpetrated by these individuals. Many prosecutions fall short of true accountability for the full dimensions of ISIL crimes and the totality of harm done to victims and survivors.  To support prosecutions that more fully reflect the atrocities committed by ISIL, additional work is needed to collect and analyse evidence relating to ISIL’s ideology, structure, decision-making, and capacities that underpinned the commission of atrocities. This book brings together eight experts who conducted original research on the inner workings of ISIL. The authors are recognized inter-disciplinary experts on ISIL —some of whom have served as expert witnesses in U.N.-led investigations and domestic criminal proceedings. These papers are intended to serve as a summary of their research and a starting point for prosecutors and other authorities conducting investigations and building cases around crimes committed by ISIL."
4082126,"The importance of co-produced, multi-method, independent scientific evidence in times of alternative truths and global policy debates","Comiskey, C.; Bergeron, H.; Clausen, T.; Colman, C.; Ferrer- Wreder, L.; Fischer, G.; ... ; Torrens Melich, M.                                                         2024",,Article / Letter to editor,open access,
4211787,Steun voor Oekraïne en de nieuwe Koude Oorlog,"Osinga, F.P.B.                                                         2024",,Research paper,open access,
4082110,"Structure, agency, and structural reform: the case of the European Central Bank","Braun, B.; Carlo, D. Di; Diessner, S.; Düsterhöft, M.                                                         2024",,Article / Letter to editor,open access,
4038287,"(Non)recognition of legal identity in aspirant states: evidence from Abkhazia, South Ossetia and Transnistria","Ganohariti, R.                                                         2024",,Article / Letter to editor,open access,"Even though an individual’s right to legal identity has been internationally codified, in certain instances, the legal identity and associated documents may lack widespread international recognition. This is the case in aspirant () states such as Abkhazia, South Ossetia and Transnistria. This paper argues that certain legal identities become liminal due to the nonrecognition of the conferring authority, and/or the associated legal identity documents. The recognition of legal identity documents can change based on where a person is located (territorial jurisdiction), the administrative authority issuing the documents, and the authority assessing the legitimacy of the conferred legal identity documents."
4210528,Journalists’ apprehension of being politically correct: a source of racial stereotyping of street harassment perpetrators in the press,"Dekker, M.J.T.; Duyvendak, J.-W.                                                         2024",,Article / Letter to editor,open access,"While racialized stereotyping in mass media is well-documented, sociological analysis of the journalistic practices and norms contributing to the production of such representations remains underdeveloped. We study these by analyzing media reporting on street harassment in the Netherlands, which frequently mentioned the racialized profiles of perpetrators. Existing research has proposed two major causes of racialized stereotyping in the press: (1) journalists’ passive and unreflective reproduction of popular racialized stereotypes and (2) commercialization of the press as favoring the provocative racialized discourse of right-wing populists. Based on content analysis of press coverage and interviews with Dutch journalists and the actors they reported on—politicians, activists, and others involved in the public problem of street harassment—we identify apprehension of political correctness as a third cause of racialized framings in the press. Specifically, we show how many journalists considered addressing the question of whether racialized men are overrepresented as perpetrators to be a way of avoiding complicity with politicians and other powerful actors who allegedly avoid sensitive questions about race and migration. This article proposes a theory of “apprehension of political correctness” as a contribution to scholarship on journalistic practice and racialized stereotyping in the press."
4210534,Weapons of mass division: Sputnik Latvia's Russophobia narratives and testing the rejection-identification model in Russian speakers in Latvia,"Hoyle, A.J.A.; Powell, T.; Doosje, B.; Berg, H. van den; Wagnsson, C.                                                         2024",,Article / Letter to editor,metadata only,
3731010,Enforcement and public opinion: the perceived legitimacy of rule of law sanctions,"Toshkov, D.D.; Mazepus, H.; Yordanova, N.; Piqani, D.                                                         2024",,Article / Letter to editor,open access,"The EU has powerful enforcement mechanisms to curb democratic backsliding and support the rule of law in its member states. While (the threat of) enforcement is necessary, sanctions might be difficult to accept as legitimate when they hurt a citizen's country. We study the perceived legitimacy of EU enforcement actions. We develop hypotheses about the influence of national identity, party support, procedural fairness, descriptive norm prevalence, and the likely effects of the sanctions on the future of cooperation. These hypotheses are tested with a survey experiment administered to a nationally-representative sample in Poland. The focus is on the substantial financial sanctions imposed by the EU concerning judicial independence. The results show that exclusive national identity, the perceived importance of the rule of law, support for European integration and party support are strongly associated with perceived legitimacy. Providing information about the prevalence of public support for judicial independence in the country increases significantly the perceived legitimacy of enforcement actions. We find no evidence for effects of arguments about Polexit, future deterrence effects of the sanctions or their procedural (un)fairness. EU sanctions might not lead to further backlash among the domestic public, but they are unlikely to generate public pressure for reforms."
4210533,Securitising information in European borders: how can democracies balance openness with curtailing Russian malign information influence?,"Wagnsson, C.; Hellman, M.; Hoyle, A.J.A.                                                         2024",,Article / Letter to editor,metadata only,
4107417,US security assurances and nuclear tripolarity,"Desmaele, L.                                                         2024",,Article / Letter to editor,open access,
3947615,Europa en binnenlands bestuur: hoe waardenconflicten de uitvoering van beleid kleuren,"Steunenberg, B.                                                         2024",,Part of book or chapter of book,open access,
3970596,Cognitive uncertainty and employees’ daily innovative work behavior: the moderating role of ambidextrous leadership,"Bernards, B.J.T.H.                                                         2024",,Article / Letter to editor,open access,"Innovation is crucial for public organizations to adapt to changing circumstances. While successful innovation requires employees both to explore new ideas and to exploit current processes, such innovative work behavior is often bounded by constraints, both situational and personal. This study examines individual-level constraints on innovation by focusing on cognitive uncertainty as a personal state that may affect innovative work behavior. Using a quantitative daily diary study among public professionals in the Netherlands (= 88 respondents and 369 diary entries), the analysis identifies a positive relationship between daily cognitive uncertainty experiences and daily employee innovative work behavior. However, this relationship is only present when employees perceive substantial support from their team leader. This support takes the form of ambidextrous leadership, which mirrors the duality of the innovation process and is shown to be most effective in stimulating innovative work behavior and in managing cognitive uncertainty in stimulating innovation."
3729823,Understanding continuity and change in US counterterrorism policy through policymaker profiles,"Gallo, A.M.                                                         2024",,Doctoral Thesis,some documents under embargo until 2025-09-27,"The terrorist attacks of September 11th, 2001 represent a seminal event in American history, catalyzing a 20-year period in which counterterrorism was the top priority for US national security. Yet, our understanding of US counterterrorism policy and the factors driving its evolution remains varied and unclear.In this dissertation, two dimensions of policy perspective and mode of thinking are integrated into a framework called the Policy Profile Code (PPC), a model that helps us understand the options policymakers have when confronted with crisis. Through the PPC, we metaphorically named the profiles of a policymaker: The Commander, The Prosecutor, The Negotiator, and The Doctor. When applying the PPC to each US presidential administration (Bush, Obama, and Trump) across the 20-year period following 9/11, we find overall change in US counterterrorism policy that included an evolution from The Commander, to The Prosecutor, to The Negotiator. We also find The Doctor policy profile was not adopted during this period."
4105322,Transplantation theory in terrorism: an exploratory analysis of organised crime and terrorist group expansion,"Kapetanovic, T.; Dechesne, M.; Leun, J.P. van der                                                         2024",,Article / Letter to editor,open access,"Most terrorist groups are active close to their native area of operation. Why then do some terrorist groups expand to foreign territories? In an exploratory attempt, this article draws parallels between organised crime group transplantation frameworks and the transnational activities of terrorist groups. Utilising transplantation studies, we introduce a conceptual criminological framework that integrates both push and pull factors influencing the transnational movement of terrorist groups. To validate this framework as a pilot test, we apply it to al-Qaeda’s operations in the Sahara-Sahel region, relying on open-source data. Our findings, while preliminary, indicate the potential of this unified transplantation approach in offering deeper insights into the transnational behaviours of terrorist groups."
3728462,"Oekraïne – standvastigheid, weerbaarheid en perspectief","Koenders, B.; Broeks, J.; Corbey, D.; Gool, T. van; Middelaar, L.J. van; Nijman, J.; ... ; Offenberg, Q.                                                         2024",,External research report,open access,"Dit briefadvies maakt eerst kort de balans op van twee jaar oorlog. Vervolgens constateert de Raad dat de westerse consensus brozer wordt, dat er kantelpunten in zicht zijn en dat een langdurige patstelling dreigt. De vraag naar een adequate Nederlandse opstelling dient zich aan, ook voor de nieuw aan te treden regering. Het adviesrapport benadrukt de noodzaak van onverminderde Nederlandse en Europese steun aan Oekraïne en geeft aan dat Nederland zich proactiever moet voorbereiden op verschillende scenario’s voor de oorlog in Oekraïne en actief dient te streven naar de meest wenselijke uitkomsten, waaronder een overwinning voor Oekraïne of een sterke onderhandelingspositie voor het land.Het advies bespreekt daarna zes thema’s in meer detail: 1) de Europese veiligheidsarchitectuur; 2) de Europese defensie-industrie; 3) het perspectief op Oekraïens EU-lidmaatschap; 4) Oekraïne’s wederopbouw; 5) de gevolgen van de oorlog voor het mondiale Zuiden; en 6) weerbaarheid en draagvlak. Deze bespreking leidt tot een korte conclusie en een zestal aanbevelingen."
4211738,Stories of Masculinity and Violence of Male Homicide Perpetrators in Argentina,"Di Marco, M.H.                                                         2024",,Part of book or chapter of book,open access,
3717514,International law and governance of the arctic in an era of climate change,"Sarris, A.                                                         2024",,Doctoral Thesis,open access,"The far-reaching invasion of Ukraine by the Russian Federation on 24 February 2022 poses the greatest threat to international peace and security in Europe since the end of World War II. The unjustified attack also impacts the relations between Russia and other Arctic nations, i.e. Norway, Sweden, Finland, Iceland, Denmark, Canada, and the United States of America, all of which are members of the European Union or the North Atlantic Treaty Organization, or both. This thesis analyses the existing legal framework in the Arctic with a special focus on the region's governance and its indigenous people. It will be argued that the Arctic Council as a forum for the Arctic cooperation will continue to play a role in the future, but that international cooperation for governance in the Arctic will be very different as compared to the last three decades. The thesis offers an extensive analysis of the Arctic's legal framework, and of the need for a comprehensive and efficient Arctic Governance Regime based on International Law and the main principles and purposes of the United Nations Charter."
